Sample;M;intensity
brain1;1931.7;9918470
brain1;1932.7;6356468
brain1;1933.7;299700582
brain1;1934.7;153455330
brain1;1935.7;725783494
brain1;1938.7;9830877
brain1;1940.7;25268984
brain1;1949.7;101636468
brain1;1950.7;69430366
brain1;1951.7;295830533
brain1;1952.8;23184964
brain1;1956.7;7842209
brain1;1957.6;18452864
brain1;1957.7;47805874
brain1;1959.7;50497396
brain1;1963.8;37100938
brain1;1967.7;9742410
brain1;1972.8;19107782
brain1;1973.7;21599497
brain1;1974.7;305728230.8
brain1;1975.7;49276333
brain1;1975.8;12475899
brain1;1976.8;1250593087
brain1;1980.8;11282026
brain1;1991.8;5635531
brain1;1992.7;45740087
brain1;1992.8;103760936
brain1;1993.8;37854158
brain1;1998.7;270969447
brain1;2004.7;7414924
brain1;2006.7;83353133
brain1;2008.7;9886844
brain1;2013.7;9546793
brain1;2014.7;25717383
brain1;2015.7;12463232
brain1;2019.8;41972841
brain1;2021.7;10889682
brain1;2021.8;100641327
brain1;2023.7;25186432
brain1;2031.8;14643540
brain1;2033.8;124179478.8
brain1;2037.7;242256944
brain1;2039.7;512454500
brain1;2047.7;20669851
brain1;2056.7;65736310
brain1;2056.8;37704844
brain1;2061.7;21053672
brain1;2063.7;9483008
brain1;2063.8;11967484
brain1;2064.7;20943956
brain1;2064.8;66242176
brain1;2076.8;6762890
brain1;2077.8;27849585
brain1;2078.8;37988847
brain1;2079.8;87057283
brain1;2080.8;678285996
brain1;2081.8;457661711
brain1;2086.7;17474414
brain1;2094.8;5609174
brain1;2095.7;8556021
brain1;2095.8;202828206
brain1;2096.8;305618040
brain1;2097.8;276330016
brain1;2098.8;59741272
brain1;2102.8;7597711
brain1;2103.8;6466114
brain1;2111.8;9513405
brain1;2112.8;21075085
brain1;2113.7;8667171
brain1;2113.8;166129922
brain1;2117.8;49044724
brain1;2119.8;381629068
brain1;2120.8;50273065
brain1;2121.8;1135925904
brain1;2136.8;87020525
brain1;2137.8;43273792
brain1;2138.8;365284496
brain1;2141.7;79138833
brain1;2143.8;16302424
brain1;2153.8;8396184
brain1;2159.8;6735408
brain1;2160.7;44230772
brain1;2160.8;10631313
brain1;2161.7;20293937
brain1;2161.8;49129646
brain1;2164.8;6972468
brain1;2165.8;21337029
brain1;2166.8;31651594
brain1;2166.9;9899068
brain1;2167.8;7606964
brain1;2168.8;237923527
brain1;2177.8;169099884
brain1;2178.8;142278473
brain1;2179.8;391900141
brain1;2184.8;44938755
brain1;2185.8;25583158
brain1;2195.8;38445160
brain1;2199.9;7831991
brain1;2201.8;26538577
brain1;2207.8;120782842
brain1;2209.8;359425809
brain1;2213.8;7713863
brain1;2218.8;16429248
brain1;2222.8;13376827
