Composition;M
N7H6F1G3 || N7H7A1G2 || N5H6F4A2G1 || N5H7F3A3;3482.234941
N5H6F4A2G1;3482.260094
N7H7F2G2 || N7H8F1A1G1;3483.255342
N7H8F3G1 || N7H9F2A1;3484.275743
N7H9F4;3485.296144
N8H6F2A2;3492.292064
N10H7G1;3493.287312
N8H5F5G1 || N8H6F4A1;3493.312465
N10H8F1;3494.307713
N7H7G3;3498.229855
N5H6F4A1G2 || N5H7F3A2G1 || N5H8F2A3;3498.255008
N7H8F1G2 || N7H9A1G1;3499.250256
N7H10F1A1 || N7H9F2G1;3500.270657
N7H10F3;3501.291058
N8H6F2A1G1 || N8H7F1A2;3508.286978
N8H6F4G1 || N8H7F3A1;3509.307379
N10H9;3510.302627
N8H7F5;3510.32778
N5H6F4G3 || N5H7F3A1G2 || N5H8F2A2G1 || N5H9F1A3;3514.249922
N7H9G2;3515.24517
N7H10F1G1 || N7H11A1;3516.265571
N7H11F2;3517.285972
N6H6F3A3;3523.286644
N8H6F2G2 || N8H7F1A1G1 || N8H8A2;3524.281892
N6H6F5A2;3524.307045
N8H7F3G1 || N8H8F2A1;3525.302293
N8H8F4;3526.322694
N5H7F3G3 || N5H8F2A1G2 || N5H9F1A2G1;3530.244836
N7H11G1;3532.260485
N7H12F1;3533.280886
N11H7F1;3535.334263
N6H7A4;3538.261157
N6H6F3A2G1 || N6H7F2A3;3539.281558
N8H7F1G2 || N8H8A1G1 || N6H6F5A1G1 || N6H7F4A2;3540.276806
N6H6F5A1G1;3540.301959
N8H8F2G1 || N8H9F1A1;3541.297207
N8H9F3;3542.317608
N5H8F2G3 || N5H9F1A1G2;3546.23975
N9H6F3A1;3550.333929
N11H8;3551.329177
N9H6F5;3551.35433
N6H7A3G1;3554.256071
N6H6F3A1G2 || N6H7F2A2G1 || N6H8F1A3;3555.276472
N8H8G2;3556.27172
N6H6F5G2 || N6H7F4A1G1 || N6H8F3A2;3556.296873
N8H10A1 || N8H9F1G1;3557.292121
N8H10F2;3558.312522
N5H9F1G3;3562.234664
N9H7A2;3565.308442
N7H5F5A2;3565.333595
N9H6F3G1 || N9H7F2A1;3566.328843
N9H7F4;3567.349244
N6H7A2G2;3570.250985
N6H6F3G3 || N6H7F2A1G2 || N6H8F1A2G1 || N6H9A3;3571.271386
N6H7F4G2 || N6H8F3A1G1 || N6H9F2A2;3572.291787
N8H10G1;3573.287035
N8H11F1;3574.307436
N7H6F2A3;3580.308108
N9H7A1G1;3581.303356
N7H5F5A1G1 || N7H6F4A2;3581.328509
N9H7F2G1 || N9H8F1A1;3582.323757
N9H8F3;3583.344158
N6H7A1G3;3586.245899
N6H7F2G3 || N6H8F1A1G2 || N6H9A2G1;3587.2663
N6H10F1A2 || N6H8F3G2 || N6H9F2A1G1;3588.286701
N8H12;3590.30235
N7H6F2A2G1 || N7H7F1A3;3596.303022
N9H7G2;3597.29827
N7H5F5G2 || N7H6F4A1G1 || N7H7F3A2;3597.323423
N9H8F1G1 || N9H9A1;3598.318671
N7H7F5A1;3598.343824
N9H9F2;3599.339072
N6H7G4;3602.240813
N6H8F1G3 || N6H9A1G2;3603.261214
N6H10F1A1G1 || N6H11A2 || N6H9F2G2;3604.281615
N10H6F4;3608.375794
N7H6F2A1G2 || N7H7F1A2G1 || N7H8A3;3612.297936
N7H6F4G2 || N7H7F3A1G1 || N7H8F2A2;3613.318337
N9H9G1;3614.313585
N7H7F5G1 || N7H8F4A1;3614.338738
N9H10F1;3615.333986
N6H9G3;3619.256128
N6H10F1G2 || N6H11A1G1;3620.276529
N10H7F1A1;3623.350307
N10H7F3;3624.370708
N7H6F2G3 || N7H7F1A1G2 || N7H8A2G1;3628.29285
N7H7F3G2 || N7H8F2A1G1 || N7H9F1A2;3629.313251
N7H8F4G1 || N7H9F3A1;3630.333652
N9H11;3631.3289
N6H11G2;3636.271443
N8H6F3A2;3638.349973
N10H7F1G1 || N10H8A1;3639.345221
N8H6F5A1;3639.370374
N10H8F2;3640.365622
N7H7F1G3 || N7H8A1G2;3644.287764
N7H10A2 || N7H8F2G2 || N7H9F1A1G1;3645.308165
N7H10F2A1 || N7H9F3G1;3646.328566
N8H7A3;3653.324486
N8H6F3A1G1 || N8H7F2A2;3654.344887
N10H8G1;3655.340135
N8H6F5G1 || N8H7F4A1;3655.365288
N10H9F1;3656.360536
N7H8G3;3660.282678
N7H10A1G1 || N7H9F1G2;3661.303079
N7H10F2G1 || N7H11F1A1;3662.32348
N8H7A2G1;3669.3194
N6H6F4A3;3669.344553
N8H6F3G2 || N8H7F2A1G1 || N8H8F1A2;3670.339801
N8H7F4G1 || N8H8F3A1;3671.360202
N10H10;3672.35545
N8H8F5;3672.380603
N7H10G2;3677.297993
N7H11F1G1 || N7H12A1;3678.318394
N11H7F2;3681.392172
N6H7F1A4;3684.319066
N8H7A1G2;3685.314314
N6H6F4A2G1 || N6H7F3A3;3685.339467
N8H7F2G2 || N8H8F1A1G1 || N8H9A2;3686.334715
N6H7F5A2;3686.359868
N8H8F3G1 || N8H9F2A1;3687.355116
N8H9F4;3688.375517
N7H12G1;3694.313308
N9H6F4A1;3696.391838
N11H8F1;3697.387086
N6H7F1A3G1 || N6H8A4;3700.31398
N8H7G3;3701.309228
N6H6F4A1G2 || N6H7F3A2G1 || N6H8F2A3;3701.334381
N8H8F1G2 || N8H9A1G1 || N6H7F5A1G1 || N6H8F4A2;3702.329629
N6H7F5A1G1;3702.354782
N8H10F1A1 || N8H9F2G1;3703.35003
N8H10F3;3704.370431
N9H7F1A2;3711.366351
N9H6F4G1 || N9H7F3A1;3712.386752
N11H9;3713.382
N9H7F5;3713.407153
N6H7F1A2G2 || N6H8A3G1;3716.308894
N6H6F4G3 || N6H7F3A1G2 || N6H8F2A2G1 || N6H9F1A3;3717.329295
N8H9G2;3718.324543
N6H7F5G2 || N6H8F4A1G1 || N6H9F3A2;3718.349696
N8H10F1G1 || N8H11A1;3719.344944
N8H11F2;3720.365345
N7H6F3A3;3726.366017
N9H7F1A1G1 || N9H8A2;3727.361265
N7H6F5A2;3727.386418
N9H7F3G1 || N9H8F2A1;3728.381666
N9H8F4;3729.402067
N6H7F1A1G3 || N6H8A2G2;3732.303808
N6H10A3 || N6H7F3G3 || N6H8F2A1G2 || N6H9F1A2G1;3733.324209
